ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0100,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0101,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0102,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0103,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0104,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0105,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0106,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0107,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0108,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0109,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0110,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0111,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0112,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0113,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0114,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0115,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0116,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0117,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0118,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0119,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0120,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
